case_id,image_id,image_name,psf_id,psf_type,noise_sigma,method,param,psnr,ssim,mae,psnr_blurred,ssim_blurred,mae_blurred,delta_psnr_vs_blurred,delta_ssim_vs_blurred,delta_mae_vs_blurred
triple_009_mandrill_sca_mild_sigma_0.10,4.2.03,mandrill,sca_mild,sca,0.1,tv_montalto,0.04,21.4740366141545,0.3237432115049239,0.06325672566890717,17.555623628667764,0.10146668477009446,0.10508114099502563,3.9184129854867358,0.22227652673482945,-0.04182441532611847
triple_009_mandrill_sca_mild_sigma_0.10,4.2.03,mandrill,sca_mild,sca,0.1,wiener,0.2,18.187211944747872,0.3023579998329696,0.10358970612287521,17.555623628667764,0.10146668477009446,0.10508114099502563,0.6315883160801086,0.20089131506287516,-0.0014914348721504211
triple_010_mandrill_sca_strong_sigma_0.01,4.2.03,mandrill,sca_strong,sca,0.01,blurred,,19.40842901412542,0.22351720480226134,0.08624380826950073,19.40842901412542,0.22351720480226134,0.08624380826950073,0.0,0.0,0.0
triple_010_mandrill_sca_strong_sigma_0.01,4.2.03,mandrill,sca_strong,sca,0.01,richardson_lucy,30.0,20.548305059319315,0.2729836117963811,0.07267995923757553,19.40842901412542,0.22351720480226134,0.08624380826950073,1.139876045193894,0.04946640699411975,-0.013563849031925201
triple_010_mandrill_sca_strong_sigma_0.01,4.2.03,mandrill,sca_strong,sca,0.01,tv_montalto,0.005,20.96373231857635,0.29086112902845157,0.06818535923957825,19.40842901412542,0.22351720480226134,0.08624380826950073,1.5553033044509306,0.06734392422619023,-0.018058449029922485
triple_010_mandrill_sca_strong_sigma_0.01,4.2.03,mandrill,sca_strong,sca,0.01,wiener,0.01,21.064087672180527,0.3162904633631995,0.068283811211586,19.40842901412542,0.22351720480226134,0.08624380826950073,1.6556586580551063,0.09277325856093815,-0.017959997057914734
triple_011_mandrill_sca_strong_sigma_0.05,4.2.03,mandrill,sca_strong,sca,0.05,blurred,,18.60620018423414,0.1347442148188485,0.09429939836263657,18.60620018423414,0.1347442148188485,0.09429939836263657,0.0,0.0,0.0
triple_011_mandrill_sca_strong_sigma_0.05,4.2.03,mandrill,sca_strong,sca,0.05,richardson_lucy,16.0,19.292691558600698,0.1596497543735711,0.08561401814222336,18.60620018423414,0.1347442148188485,0.09429939836263657,0.6864913743665575,0.024905539554722605,-0.008685380220413208
triple_011_mandrill_sca_strong_sigma_0.05,4.2.03,mandrill,sca_strong,sca,0.05,tv_montalto,0.02,20.46994244665811,0.2669069200851536,0.07316455990076065,18.60620018423414,0.1347442148188485,0.09429939836263657,1.863742262423969,0.1321627052663051,-0.021134838461875916
triple_011_mandrill_sca_strong_sigma_0.05,4.2.03,mandrill,sca_strong,sca,0.05,wiener,0.1,19.157812327115483,0.25333076982642927,0.08938934653997421,18.60620018423414,0.1347442148188485,0.09429939836263657,0.5516121428813427,0.11858655500758078,-0.0049100518226623535
triple_012_mandrill_sca_strong_sigma_0.10,4.2.03,mandrill,sca_strong,sca,0.1,blurred,,16.701138717565122,0.06883031152955582,0.11668332666158676,16.701138717565122,0.06883031152955582,0.11668332666158676,0.0,0.0,0.0
triple_012_mandrill_sca_strong_sigma_0.10,4.2.03,mandrill,sca_strong,sca,0.1,richardson_lucy,12.0,17.09432366993687,0.08342214193035671,0.11101237684488297,16.701138717565122,0.06883031152955582,0.11668332666158676,0.39318495237174744,0.014591830400800893,-0.005670949816703796
triple_012_mandrill_sca_strong_sigma_0.10,4.2.03,mandrill,sca_strong,sca,0.1,tv_montalto,0.04,20.301775754146277,0.2600686454080191,0.0746336430311203,16.701138717565122,0.06883031152955582,0.11668332666158676,3.600637036581155,0.19123833387846328,-0.04204968363046646
triple_012_mandrill_sca_strong_sigma_0.10,4.2.03,mandrill,sca_strong,sca,0.1,wiener,0.2,17.416983884559865,0.2414288398693244,0.11186638474464417,16.701138717565122,0.06883031152955582,0.11668332666158676,0.7158451669947432,0.17259852833976858,-0.0048169419169425964
triple_013_sailboat_gauss_iso_mild_sigma_0.01,4.2.06,sailboat,gauss_iso_mild,gauss,0.01,blurred,,21.629111721670505,0.6403120908295457,0.05450823903083801,21.629111721670505,0.6403120908295457,0.05450823903083801,0.0,0.0,0.0
triple_013_sailboat_gauss_iso_mild_sigma_0.01,4.2.06,sailboat,gauss_iso_mild,gauss,0.01,richardson_lucy,30.0,24.263708762171014,0.7584885088405162,0.03997137397527695,21.629111721670505,0.6403120908295457,0.05450823903083801,2.634597040500509,0.11817641801097056,-0.014536865055561066
triple_013_sailboat_gauss_iso_mild_sigma_0.01,4.2.06,sailboat,gauss_iso_mild,gauss,0.01,tv_montalto,0.005,24.01499042840811,0.7646093170867115,0.037611205130815506,21.629111721670505,0.6403120908295457,0.05450823903083801,2.385878706737607,0.12429722625716588,-0.016897033900022507
triple_013_sailboat_gauss_iso_mild_sigma_0.01,4.2.06,sailboat,gauss_iso_mild,gauss,0.01,wiener,0.01,24.576019816111344,0.7796285306067765,0.03857651352882385,21.629111721670505,0.6403120908295457,0.05450823903083801,2.9469080944408397,0.13931643977723085,-0.01593172550201416
triple_014_sailboat_gauss_iso_mild_sigma_0.05,4.2.06,sailboat,gauss_iso_mild,gauss,0.05,blurred,,20.341287938856816,0.41415609233553374,0.07091344147920609,20.341287938856816,0.41415609233553374,0.07091344147920609,0.0,0.0,0.0
triple_014_sailboat_gauss_iso_mild_sigma_0.05,4.2.06,sailboat,gauss_iso_mild,gauss,0.05,richardson_lucy,16.0,21.297019652349235,0.4799915184849397,0.0653131902217865,20.341287938856816,0.41415609233553374,0.07091344147920609,0.955731713492419,0.06583542614940596,-0.005600251257419586
triple_014_sailboat_gauss_iso_mild_sigma_0.05,4.2.06,sailboat,gauss_iso_mild,gauss,0.05,tv_montalto,0.02,22.855450690619527,0.6910938109699853,0.04495829716324806,20.341287938856816,0.41415609233553374,0.07091344147920609,2.5141627517627114,0.2769377186344516,-0.025955144315958023
triple_014_sailboat_gauss_iso_mild_sigma_0.05,4.2.06,sailboat,gauss_iso_mild,gauss,0.05,wiener,0.1,20.92989480750787,0.6560035275535994,0.06972914934158325,20.341287938856816,0.41415609233553374,0.07091344147920609,0.5886068686510555,0.24184743521806562,-0.0011842921376228333
triple_015_sailboat_gauss_iso_mild_sigma_0.10,4.2.06,sailboat,gauss_iso_mild,gauss,0.1,blurred,,17.79587615418442,0.25948746634506475,0.10097138583660126,17.79587615418442,0.25948746634506475,0.10097138583660126,0.0,0.0,0.0
triple_015_sailboat_gauss_iso_mild_sigma_0.10,4.2.06,sailboat,gauss_iso_mild,gauss,0.1,richardson_lucy,12.0,17.779907082080655,0.3089761526915732,0.10167791694402695,17.79587615418442,0.25948746634506475,0.10097138583660126,-0.01596907210376486,0.04948868634650844,0.0007065311074256897
triple_015_sailboat_gauss_iso_mild_sigma_0.10,4.2.06,sailboat,gauss_iso_mild,gauss,0.1,tv_montalto,0.04,22.07805445017994,0.636096318274192,0.050596583634614944,17.79587615418442,0.25948746634506475,0.10097138583660126,4.2821782959955215,0.37660885192912724,-0.05037480220198631
triple_015_sailboat_gauss_iso_mild_sigma_0.10,4.2.06,sailboat,gauss_iso_mild,gauss,0.1,wiener,0.2,18.18702273128889,0.5635949459776939,0.10002914071083069,17.79587615418442,0.25948746634506475,0.10097138583660126,0.39114657710447176,0.30410747963262913,-0.0009422451257705688
triple_016_sailboat_gauss_aniso_rot_sigma_0.01,4.2.06,sailboat,gauss_aniso_rot,gauss,0.01,blurred,,19.911693984834564,0.5326978676594516,0.06997638940811157,19.911693984834564,0.5326978676594516,0.06997638940811157,0.0,0.0,0.0
triple_016_sailboat_gauss_aniso_rot_sigma_0.01,4.2.06,sailboat,gauss_aniso_rot,gauss,0.01,richardson_lucy,30.0,21.81770674211603,0.6282207966297406,0.053979143500328064,19.911693984834564,0.5326978676594516,0.06997638940811157,1.9060127572814665,0.09552292897028902,-0.01599724590778351
triple_016_sailboat_gauss_aniso_rot_sigma_0.01,4.2.06,sailboat,gauss_aniso_rot,gauss,0.01,tv_montalto,0.005,22.131513942326713,0.6599958384697028,0.04842275381088257,19.911693984834564,0.5326978676594516,0.06997638940811157,2.219819957492149,0.12729797081025118,-0.021553635597229004
triple_016_sailboat_gauss_aniso_rot_sigma_0.01,4.2.06,sailboat,gauss_aniso_rot,gauss,0.01,wiener,0.01,22.047372253902033,0.656021860645744,0.051981665194034576,19.911693984834564,0.5326978676594516,0.06997638940811157,2.135678269067469,0.12332399298629237,-0.017994724214076996
triple_017_sailboat_gauss_aniso_rot_sigma_0.05,4.2.06,sailboat,gauss_aniso_rot,gauss,0.05,blurred,,18.982708194115908,0.3241224859696591,0.08387088030576706,18.982708194115908,0.3241224859696591,0.08387088030576706,0.0,0.0,0.0
triple_017_sailboat_gauss_aniso_rot_sigma_0.05,4.2.06,sailboat,gauss_aniso_rot,gauss,0.05,richardson_lucy,16.0,19.99797609198522,0.3894431153961244,0.07465805858373642,18.982708194115908,0.3241224859696591,0.08387088030576706,1.015267897869311,0.06532062942646533,-0.00921282172203064
triple_017_sailboat_gauss_aniso_rot_sigma_0.05,4.2.06,sailboat,gauss_aniso_rot,gauss,0.05,tv_montalto,0.02,21.33737467009686,0.6015358853583646,0.05472875386476517,18.982708194115908,0.3241224859696591,0.08387088030576706,2.3546664759809524,0.27741339938870546,-0.029142126441001892
triple_017_sailboat_gauss_aniso_rot_sigma_0.05,4.2.06,sailboat,gauss_aniso_rot,gauss,0.05,wiener,0.1,19.527995927257216,0.5497736494693986,0.08081716299057007,18.982708194115908,0.3241224859696591,0.08387088030576706,0.5452877331413077,0.22565116349973946,-0.003053717315196991
triple_018_sailboat_gauss_aniso_rot_sigma_0.10,4.2.06,sailboat,gauss_aniso_rot,gauss,0.1,blurred,,16.96105260092774,0.19497411145401505,0.11045395582914352,16.96105260092774,0.19497411145401505,0.11045395582914352,0.0,0.0,0.0
triple_018_sailboat_gauss_aniso_rot_sigma_0.10,4.2.06,sailboat,gauss_aniso_rot,gauss,0.1,richardson_lucy,12.0,17.29405670224104,0.24522242220471335,0.10638927668333054,16.96105260092774,0.19497411145401505,0.11045395582914352,0.3330041013132998,0.0502483107506983,-0.004064679145812988
triple_018_sailboat_gauss_aniso_rot_sigma_0.10,4.2.06,sailboat,gauss_aniso_rot,gauss,0.1,tv_montalto,0.04,20.752884149486597,0.5609154112620439,0.060247886925935745,16.96105260092774,0.19497411145401505,0.11045395582914352,3.791831548558857,0.36594129980802886,-0.05020606890320778
triple_018_sailboat_gauss_aniso_rot_sigma_0.10,4.2.06,sailboat,gauss_aniso_rot,gauss,0.1,wiener,0.2,17.323419094661514,0.48855685095843776,0.10946047306060791,16.96105260092774,0.19497411145401505,0.11045395582914352,0.3623664937337736,0.2935827395044227,-0.000993482768535614
triple_019_sailboat_sca_mild_sigma_0.01,4.2.06,sailboat,sca_mild,sca,0.01,blurred,,18.977563876410574,0.4335297997172882,0.07782961428165436,18.977563876410574,0.4335297997172882,0.07782961428165436,0.0,0.0,0.0
triple_019_sailboat_sca_mild_sigma_0.01,4.2.06,sailboat,sca_mild,sca,0.01,richardson_lucy,30.0,21.45705840352479,0.5832186241095995,0.05765579268336296,18.977563876410574,0.4335297997172882,0.07782961428165436,2.479494527114216,0.14968882439231124,-0.020173821598291397
triple_019_sailboat_sca_mild_sigma_0.01,4.2.06,sailboat,sca_mild,sca,0.01,tv_montalto,0.005,21.95069791293112,0.6334779841755469,0.05046933516860008,18.977563876410574,0.4335297997172882,0.07782961428165436,2.9731340365205448,0.19994818445825868,-0.027360279113054276
triple_019_sailboat_sca_mild_sigma_0.01,4.2.06,sailboat,sca_mild,sca,0.01,wiener,0.01,22.260626018141522,0.6042921222162633,0.054598622024059296,18.977563876410574,0.4335297997172882,0.07782961428165436,3.283062141730948,0.17076232249897505,-0.023230992257595062
triple_020_sailboat_sca_mild_sigma_0.05,4.2.06,sailboat,sca_mild,sca,0.05,blurred,,18.195169221832543,0.2463719106170801,0.09085346013307571,18.195169221832543,0.2463719106170801,0.09085346013307571,0.0,0.0,0.0
triple_020_sailboat_sca_mild_sigma_0.05,4.2.06,sailboat,sca_mild,sca,0.05,richardson_lucy,16.0,19.48621464859586,0.34401983772360617,0.07857349514961243,18.195169221832543,0.2463719106170801,0.09085346013307571,1.291045426763315,0.09764792710652606,-0.012279964983463287
triple_020_sailboat_sca_mild_sigma_0.05,4.2.06,sailboat,sca_mild,sca,0.05,tv_montalto,0.02,20.671714582657362,0.5554352658070445,0.059529177844524384,18.195169221832543,0.2463719106170801,0.09085346013307571,2.4765453608248187,0.3090633551899644,-0.03132428228855133
triple_020_sailboat_sca_mild_sigma_0.05,4.2.06,sailboat,sca_mild,sca,0.05,wiener,0.1,19.02867369291017,0.4858347114854162,0.08531815558671951,18.195169221832543,0.2463719106170801,0.09085346013307571,0.833504471077628,0.23946280086833607,-0.005535304546356201
triple_021_sailboat_sca_mild_sigma_0.10,4.2.06,sailboat,sca_mild,sca,0.1,blurred,,16.4983961919192,0.1415548674542011,0.11616583168506622,16.4983961919192,0.1415548674542011,0.11616583168506622,0.0,0.0,0.0
triple_021_sailboat_sca_mild_sigma_0.10,4.2.06,sailboat,sca_mild,sca,0.1,richardson_lucy,12.0,17.112595729607364,0.21077191465762013,0.1081693097949028,16.4983961919192,0.1415548674542011,0.11616583168506622,0.6141995376881653,0.06921704720341904,-0.007996521890163422
triple_021_sailboat_sca_mild_sigma_0.10,4.2.06,sailboat,sca_mild,sca,0.1,tv_montalto,0.04,20.130417440711415,0.5193231226969102,0.06490793824195862,16.4983961919192,0.1415548674542011,0.11616583168506622,3.632021248792217,0.3777682552427091,-0.051257893443107605
triple_021_sailboat_sca_mild_sigma_0.10,4.2.06,sailboat,sca_mild,sca,0.1,wiener,0.2,17.033560191147746,0.43635058026021,0.11269605904817581,16.4983961919192,0.1415548674542011,0.11616583168506622,0.5351639992285477,0.2947957128060089,-0.0034697726368904114
triple_022_sailboat_sca_strong_sigma_0.01,4.2.06,sailboat,sca_strong,sca,0.01,blurred,,15.893367272518457,0.31011040991108185,0.12316294014453888,15.893367272518457,0.31011040991108185,0.12316294014453888,0.0,0.0,0.0
triple_022_sailboat_sca_strong_sigma_0.01,4.2.06,sailboat,sca_strong,sca,0.01,richardson_lucy,30.0,17.425111292421505,0.3691098441097337,0.0995318815112114,15.893367272518457,0.31011040991108185,0.12316294014453888,1.5317440199030479,0.058999434198651834,-0.023631058633327484
triple_022_sailboat_sca_strong_sigma_0.01,4.2.06,sailboat,sca_strong,sca,0.01,tv_montalto,0.005,18.466816300504046,0.4407957465334785,0.08524824678897858,15.893367272518457,0.31011040991108185,0.12316294014453888,2.573449027985589,0.13068533662239668,-0.0379146933555603
triple_022_sailboat_sca_strong_sigma_0.01,4.2.06,sailboat,sca_strong,sca,0.01,wiener,0.01,18.375710430428207,0.4353138910212842,0.08867252618074417,15.893367272518457,0.31011040991108185,0.12316294014453888,2.4823431579097495,0.12520348111020235,-0.03449041396379471
triple_023_sailboat_sca_strong_sigma_0.05,4.2.06,sailboat,sca_strong,sca,0.05,blurred,,15.501981751855931,0.14670862331108422,0.13008518517017365,15.501981751855931,0.14670862331108422,0.13008518517017365,0.0,0.0,0.0
triple_023_sailboat_sca_strong_sigma_0.05,4.2.06,sailboat,sca_strong,sca,0.05,richardson_lucy,16.0,16.460696387060093,0.18743617375701033,0.11364693194627762,15.501981751855931,0.14670862331108422,0.13008518517017365,0.9587146352041618,0.0407275504459261,-0.016438253223896027
triple_023_sailboat_sca_strong_sigma_0.05,4.2.06,sailboat,sca_strong,sca,0.05,tv_montalto,0.02,17.230744247882637,0.38710658329986114,0.09921274334192276,15.501981751855931,0.14670862331108422,0.13008518517017365,1.7287624960267056,0.24039795998877692,-0.030872441828250885
triple_023_sailboat_sca_strong_sigma_0.05,4.2.06,sailboat,sca_strong,sca,0.05,wiener,0.1,16.198103450679007,0.3620228602165013,0.12037723511457443,15.501981751855931,0.14670862331108422,0.13008518517017365,0.6961216988230756,0.2153142369054171,-0.009707950055599213
triple_024_sailboat_sca_strong_sigma_0.10,4.2.06,sailboat,sca_strong,sca,0.1,blurred,,14.474867780386889,0.06277846701277483,0.14859886467456818,14.474867780386889,0.06277846701277483,0.14859886467456818,0.0,0.0,0.0
triple_024_sailboat_sca_strong_sigma_0.10,4.2.06,sailboat,sca_strong,sca,0.1,richardson_lucy,12.0,15.116709119106082,0.09046563061409953,0.13608640432357788,14.474867780386889,0.06277846701277483,0.14859886467456818,0.6418413387191926,0.0276871636013247,-0.012512460350990295
triple_024_sailboat_sca_strong_sigma_0.10,4.2.06,sailboat,sca_strong,sca,0.1,tv_montalto,0.04,16.859827426024655,0.3711525970528034,0.10471522808074951,14.474867780386889,0.06277846701277483,0.14859886467456818,2.3849596456377657,0.30837413004002856,-0.043883636593818665
triple_024_sailboat_sca_strong_sigma_0.10,4.2.06,sailboat,sca_strong,sca,0.1,wiener,0.2,15.010189372264524,0.3505756510620982,0.14282335340976715,14.474867780386889,0.06277846701277483,0.14859886467456818,0.5353215918776346,0.28779718404932336,-0.005775511264801025
triple_025_peppers_gauss_iso_mild_sigma_0.01,4.2.07,peppers,gauss_iso_mild,gauss,0.01,blurred,,24.020039649730776,0.7565821783430413,0.03911487013101578,24.020039649730776,0.7565821783430413,0.03911487013101578,0.0,0.0,0.0
triple_025_peppers_gauss_iso_mild_sigma_0.01,4.2.07,peppers,gauss_iso_mild,gauss,0.01,richardson_lucy,30.0,27.154501089852285,0.8240145282110832,0.027979813516139984,24.020039649730776,0.7565821783430413,0.03911487013101578,3.134461440121509,0.06743234986804192,-0.011135056614875793
triple_025_peppers_gauss_iso_mild_sigma_0.01,4.2.07,peppers,gauss_iso_mild,gauss,0.01,tv_montalto,0.005,27.728955632562226,0.8711932370129823,0.023274807259440422,24.020039649730776,0.7565821783430413,0.03911487013101578,3.7089159828314493,0.11461105866994103,-0.015840062871575356
triple_025_peppers_gauss_iso_mild_sigma_0.01,4.2.07,peppers,gauss_iso_mild,gauss,0.01,wiener,0.01,27.72076722681347,0.8490812128069736,0.02607579715549946,24.020039649730776,0.7565821783430413,0.03911487013101578,3.700727577082695,0.09249903446393226,-0.01303907297551632
triple_026_peppers_gauss_iso_mild_sigma_0.05,4.2.07,peppers,gauss_iso_mild,gauss,0.05,blurred,,21.959301106569985,0.4599394194269896,0.05914706364274025,21.959301106569985,0.4599394194269896,0.05914706364274025,0.0,0.0,0.0
triple_026_peppers_gauss_iso_mild_sigma_0.05,4.2.07,peppers,gauss_iso_mild,gauss,0.05,richardson_lucy,16.0,22.636026618970526,0.48109330057448824,0.05676639825105667,21.959301106569985,0.4599394194269896,0.05914706364274025,0.6767255124005409,0.02115388114749861,-0.0023806653916835785
triple_026_peppers_gauss_iso_mild_sigma_0.05,4.2.07,peppers,gauss_iso_mild,gauss,0.05,tv_montalto,0.02,25.97284686875006,0.8130438165922612,0.029944445937871933,21.959301106569985,0.4599394194269896,0.05914706364274025,4.013545762180076,0.3531043971652716,-0.029202617704868317
triple_026_peppers_gauss_iso_mild_sigma_0.05,4.2.07,peppers,gauss_iso_mild,gauss,0.05,wiener,0.1,22.8638682010253,0.7465397593061179,0.05718535929918289,21.959301106569985,0.4599394194269896,0.05914706364274025,0.9045670944553166,0.2866003398791283,-0.001961704343557358
triple_027_peppers_gauss_iso_mild_sigma_0.10,4.2.07,peppers,gauss_iso_mild,gauss,0.1,blurred,,18.603682761455058,0.26599478003836213,0.09227700531482697,18.603682761455058,0.26599478003836213,0.09227700531482697,0.0,0.0,0.0
triple_027_peppers_gauss_iso_mild_sigma_0.10,4.2.07,peppers,gauss_iso_mild,gauss,0.1,richardson_lucy,12.0,18.256107470580176,0.28628163575217336,0.09653270244598389,18.603682761455058,0.26599478003836213,0.09227700531482697,-0.34757529087488237,0.020286855713811225,0.004255697131156921
triple_027_peppers_gauss_iso_mild_sigma_0.10,4.2.07,peppers,gauss_iso_mild,gauss,0.1,tv_montalto,0.04,24.797814296177428,0.7598955145658913,0.03628716245293617,18.603682761455058,0.26599478003836213,0.09227700531482697,6.19413153472237,0.4939007345275292,-0.05598984286189079
triple_027_peppers_gauss_iso_mild_sigma_0.10,4.2.07,peppers,gauss_iso_mild,gauss,0.1,wiener,0.2,19.441902711580465,0.6503552959083514,0.09011217206716537,18.603682761455058,0.26599478003836213,0.09227700531482697,0.8382199501254064,0.38436051586998926,-0.0021648332476615906
triple_028_peppers_gauss_aniso_rot_sigma_0.01,4.2.07,peppers,gauss_aniso_rot,gauss,0.01,blurred,,21.428949665515574,0.6358938047944108,0.05604473128914833,21.428949665515574,0.6358938047944108,0.05604473128914833,0.0,0.0,0.0
triple_028_peppers_gauss_aniso_rot_sigma_0.01,4.2.07,peppers,gauss_aniso_rot,gauss,0.01,richardson_lucy,30.0,23.703332596548577,0.7015400499873397,0.04252045601606369,21.428949665515574,0.6358938047944108,0.05604473128914833,2.274382931033003,0.06564624519292883,-0.01352427527308464
triple_028_peppers_gauss_aniso_rot_sigma_0.01,4.2.07,peppers,gauss_aniso_rot,gauss,0.01,tv_montalto,0.005,24.58232863286744,0.7702343019095688,0.03480474650859833,21.428949665515574,0.6358938047944108,0.05604473128914833,3.153378967351866,0.13434049711515794,-0.021239984780550003
triple_028_peppers_gauss_aniso_rot_sigma_0.01,4.2.07,peppers,gauss_aniso_rot,gauss,0.01,wiener,0.01,24.243152576191314,0.7436036852884959,0.03898424655199051,21.428949665515574,0.6358938047944108,0.05604473128914833,2.814202910675739,0.10770988049408503,-0.01706048473715782
triple_029_peppers_gauss_aniso_rot_sigma_0.05,4.2.07,peppers,gauss_aniso_rot,gauss,0.05,blurred,,20.184463292823594,0.372190707255251,0.07216377556324005,20.184463292823594,0.372190707255251,0.07216377556324005,0.0,0.0,0.0
triple_029_peppers_gauss_aniso_rot_sigma_0.05,4.2.07,peppers,gauss_aniso_rot,gauss,0.05,richardson_lucy,16.0,21.209521423463762,0.4162778169306825,0.06528766453266144,20.184463292823594,0.372190707255251,0.07216377556324005,1.0250581306401685,0.0440871096754315,-0.006876111030578613
triple_029_peppers_gauss_aniso_rot_sigma_0.05,4.2.07,peppers,gauss_aniso_rot,gauss,0.05,tv_montalto,0.02,23.35297831863796,0.7152455187821645,0.04168551415205002,20.184463292823594,0.372190707255251,0.07216377556324005,3.168515025814365,0.3430548115269135,-0.030478261411190033
triple_029_peppers_gauss_aniso_rot_sigma_0.05,4.2.07,peppers,gauss_aniso_rot,gauss,0.05,wiener,0.1,20.97560488700495,0.6519437284789931,0.06889984011650085,20.184463292823594,0.372190707255251,0.07216377556324005,0.7911415941813544,0.27975302122374207,-0.0032639354467391968
triple_030_peppers_gauss_aniso_rot_sigma_0.10,4.2.07,peppers,gauss_aniso_rot,gauss,0.1,blurred,,17.728510667428672,0.20867510625346947,0.10121266543865204,17.728510667428672,0.20867510625346947,0.10121266543865204,0.0,0.0,0.0
triple_030_peppers_gauss_aniso_rot_sigma_0.10,4.2.07,peppers,gauss_aniso_rot,gauss,0.1,richardson_lucy,12.0,17.91888849061565,0.24507613472193934,0.099849633872509,17.728510667428672,0.20867510625346947,0.10121266543865204,0.19037782318697793,0.036401028468469876,-0.0013630315661430359
triple_030_peppers_gauss_aniso_rot_sigma_0.10,4.2.07,peppers,gauss_aniso_rot,gauss,0.1,tv_montalto,0.04,22.641033624434733,0.6773544504995997,0.04686646908521652,17.728510667428672,0.20867510625346947,0.10121266543865204,4.912522957006061,0.4686793442461303,-0.054346196353435516
triple_030_peppers_gauss_aniso_rot_sigma_0.10,4.2.07,peppers,gauss_aniso_rot,gauss,0.1,wiener,0.2,18.413979207104752,0.5844002411562816,0.1000172570347786,17.728510667428672,0.20867510625346947,0.10121266543865204,0.68546853967608,0.3757251349028122,-0.0011954084038734436
triple_031_peppers_sca_mild_sigma_0.01,4.2.07,peppers,sca_mild,sca,0.01,blurred,,20.84435983415347,0.5801715623604154,0.06015153229236603,20.84435983415347,0.5801715623604154,0.06015153229236603,0.0,0.0,0.0
triple_031_peppers_sca_mild_sigma_0.01,4.2.07,peppers,sca_mild,sca,0.01,richardson_lucy,30.0,23.46797425993456,0.665828657782861,0.045319564640522,20.84435983415347,0.5801715623604154,0.06015153229236603,2.623614425781092,0.0856570954224456,-0.014831967651844025
